"species","long","lat"
"Viverra tangalunga",116.769361,1.546667
"Viverra tangalunga",116.767778,1.546583
"Viverra tangalunga",116.767778,1.546583
"Viverra tangalunga",118.04,5.41
"Viverra tangalunga",114.783333,4.0833
"Viverra tangalunga",113.48617,-0.077642
"Viverra tangalunga",114.02,4.12
"Viverra tangalunga",117.76,5.86
"Viverra tangalunga",116.0852,-0.5738833333
"Viverra tangalunga",112.8475,2.53016666666667
"Viverra tangalunga",112.85995,2.53073333333333
"Viverra tangalunga",112.8206,2.59855
"Viverra tangalunga",112.820433,2.5968
"Viverra tangalunga",112.813,2.59651666666667
"Viverra tangalunga",112.816416666667,2.59531666666667
"Viverra tangalunga",112.81775,2.59501666666667
"Viverra tangalunga",112.82215,2.59436666666667
"Viverra tangalunga",112.8435,2.38675
"Viverra tangalunga",112.843583333333,2.3851
"Viverra tangalunga",112.843616666667,2.38126666666667
"Viverra tangalunga",117.293067,5.456646
"Viverra tangalunga",117.207523,5.501761
"Viverra tangalunga",117.200281,5.413426
"Viverra tangalunga",117.30432,5.396243
"Viverra tangalunga",117.242816,5.388031
"Viverra tangalunga",117.240561,5.430121
"Viverra tangalunga",117.606136,5.593688
"Viverra tangalunga",117.57552,5.525671
"Viverra tangalunga",117.519502,5.545349
"Viverra tangalunga",117.540856,5.5709
"Viverra tangalunga",117.573847,5.63562
"Viverra tangalunga",117.489088,5.599027
"Viverra tangalunga",117.37289,5.343984
"Viverra tangalunga",117.42394,5.436985
"Viverra tangalunga",117.364393,5.438179
"Viverra tangalunga",117.39621,5.390793
"Viverra tangalunga",117.486486,5.361312
"Viverra tangalunga",117.472352,5.331864
"Viverra tangalunga",109.78,1.633
"Viverra tangalunga",113.5833333,1.666666667
"Viverra tangalunga",116.604,6.462
"Viverra tangalunga",117.152,6.257
"Viverra tangalunga",117.975,5.83
"Viverra tangalunga",117.808,5.678
"Viverra tangalunga",117.98,5.85
"Viverra tangalunga",118.44,5.406
"Viverra tangalunga",118.523,5.406
"Viverra tangalunga",118.703,5.224
"Viverra tangalunga",118.676,5.238
"Viverra tangalunga",118.705,5.049
"Viverra tangalunga",118.442,5.406
"Viverra tangalunga",118.174,5.401
"Viverra tangalunga",117.999,4.944
"Viverra tangalunga",117.911,4.467
"Viverra tangalunga",117.083,4.395
"Viverra tangalunga",117.864,5.168
"Viverra tangalunga",118.716667,1.1
"Viverra tangalunga",114.8555342,-0.112713332
"Viverra tangalunga",116.833333,-1.083333
"Viverra tangalunga",116.767778,1.568056
"Viverra tangalunga",116.316667,-0.95
"Viverra tangalunga",117.1,2.7
"Viverra tangalunga",110.73,1.53
"Viverra tangalunga",112.98,1.03
"Viverra tangalunga",116.716667,-0.883333
"Viverra tangalunga",115.816667,2.866667
"Viverra tangalunga",115.8,2.883333
"Viverra tangalunga",113.127,2.757
"Viverra tangalunga",113.147,2.922
"Viverra tangalunga",113.177,2.908
"Viverra tangalunga",113.218,2.834
"Viverra tangalunga",113.566,3.078
"Viverra tangalunga",113.582,3.103
"Viverra tangalunga",113.641,3.111
"Viverra tangalunga",113.646,3.087
"Viverra tangalunga",113.661,3.09
"Viverra tangalunga",113.671,3.092
"Viverra tangalunga",113.673,3.083
"Viverra tangalunga",115.79259,2.84924
"Viverra tangalunga",115.75929,2.86368
"Viverra tangalunga",115.79797,2.86463
"Viverra tangalunga",115.82225,2.87189
"Viverra tangalunga",115.74397,2.88085
"Viverra tangalunga",116.47298,3.08895
"Viverra tangalunga",116.58759,3.12414
"Viverra tangalunga",115.999167,-1.452222
"Viverra tangalunga",117.46,5.13
"Viverra tangalunga",112.233333,1.65
"Viverra tangalunga",115.433333,3.783333
"Viverra tangalunga",112.33797,-1.00265
"Viverra tangalunga",112.18436,-1.03772
"Viverra tangalunga",112.18436,-1.03772
"Viverra tangalunga",112.02592,-0.84046
"Viverra tangalunga",112.18436,-1.03772
"Viverra tangalunga",112.18436,-1.03772
"Viverra tangalunga",112.1621,-0.78677
"Viverra tangalunga",112.18436,-1.03772
"Viverra tangalunga",117.960103642084,5.41965676934287
"Viverra tangalunga",117.977284075423,5.41140718252225
"Viverra tangalunga",118.014216050867,5.39524622394186
"Viverra tangalunga",118.022592228107,5.41193846141675
"Viverra tangalunga",118.198206685401,5.47386125813769
"Viverra tangalunga",118.501889,5.202472
"Viverra tangalunga",118.500506,5.201011
"Viverra tangalunga",118.507908,5.192853
"Viverra tangalunga",115.131136,3.400601
"Viverra tangalunga",115.131632,3.390144
"Viverra tangalunga",115.133507166667,3.39901016666667
"Viverra tangalunga",115.268998,3.474674
"Viverra tangalunga",115.27176,3.481972
"Viverra tangalunga",116.92599,4.70725
"Viverra tangalunga",116.88565,4.70758
"Viverra tangalunga",116.88003,4.7205
"Viverra tangalunga",116.9275,4.72826
"Viverra tangalunga",116.89093,4.73614
"Viverra tangalunga",116.96263,4.7375
"Viverra tangalunga",116.87161,4.74161
"Viverra tangalunga",116.907,4.74964
"Viverra tangalunga",116.91559,4.75447
"Viverra tangalunga",116.92092,4.75784
"Viverra tangalunga",117.8,4.95
"Viverra tangalunga",110.22,-1.17
"Viverra tangalunga",117.79,4.97
"Viverra tangalunga",117.833,4.973
"Viverra tangalunga",116.025,5.370833
"Viverra tangalunga",115.02,4.83
"Viverra tangalunga",115.4,5.3
"Viverra tangalunga",117.77,5.9
"Viverra tangalunga",114.77,-3.82
"Viverra tangalunga",114.67,2.92
"Viverra tangalunga",117.02,5.02
"Viverra tangalunga",117.02,5.02
"Viverra tangalunga",117.02,5.02
"Viverra tangalunga",117.02,5.02
"Viverra tangalunga",115.0750333,0.4174833
