ch,species,sex,wing_mm,fat,muscle,weight_g,blood_infection
100,RS,m,126,0,1,19.1,yes
010,RS,f,123,2,2,21.3,yes
001,RS,f,126,2,2,22.7,no
001,RS,f,130,2,2,20.4,yes
001,RS,m,129,2,1,18.8,yes
001,RS,f,127,3,1,22.4,no
001,RS,m,132,1,2,17.7,yes
001,RS,f,123,3,1,18.8,yes
001,RS,f,125,2,2,20.6,yes
001,RS,f,131,2,2,NA,yes
001,RS,f,121,1,1,20.7,yes
001,RS,m,126,1,2,18.3,yes
001,RS,m,127,1,2,17.9,no
001,RS,f,124,2,1,19.4,no
001,RS,m?,125,2,2,18.4,no
001,RS,f,123,4,2,18.6,no
001,RS,f,127,3,2,20.7,no
001,RS,f,128,2,2,19.4,no
001,RS,f,123,4,2,21.8,yes
001,RS,f,128,3,2,19.3,yes
001,RS,m,120,2,1,16.1,yes
001,RS,m?,124,2,2,16.9,yes
001,RS,f,120,4,2,21.8,no
001,RS,m?,122,2,2,18.1,yes
001,RS,f,126,4,2,20.5,yes
001,RS,f,119,3,2,19.6,yes
001,RS,f,126,2,2,22,no
001,RS,m,126,0,1,17.7,yes
001,RS,m,123,1,2,18.2,yes
001,RS,f,125,3,2,20.1,yes
001,RS,f,129,1,2,20.7,yes
001,RS,f,125,3,2,21.8,no
001,RS,f,126,4,2,21.7,yes
001,RS,f,121,1,2,20.6,no
001,RS,f,120,4,2,20,yes
001,RS,f,124,2,2,19.2,yes
001,RS,m,129,2,2,20.8,yes
001,RS,f,122,2,2,18.3,no
001,RS,f,125,2,2,21.6,yes
001,RS,f,125,2,2,21.8,yes
001,RS,f,124,3,2,21.6,yes
001,RS,m,128,1,1,18,no
001,RS,f,121,4,2,21.6,no
001,RS,f,127,4,2,24,yes
001,RS,m,128,2,2,18.8,no
001,RS,f,126,1,2,21.4,yes
001,RS,f,122,1,1,18.7,yes
001,RS,f,125,3,2,20.5,no
001,RS,m,129,2,1,18.8,yes
001,RS,f,122,3,2,21.3,no
001,RS,m,132,2,2,20.9,no
001,RS,m,126,1,1,16.3,no
001,RS,m,123,1,1,18.4,no
001,RS,m,127,3,2,18.6,yes
001,RS,m,121,1,2,17.3,yes
001,RS,f,121,3,3,19.8,yes
001,RS,m,124,3,2,19,yes
001,RS,f,128,3,1,20.9,yes
001,RS,f,122,4,2,19.9,yes
001,RS,m,125,1,1,19.4,no
001,RS,m,126,2,1,19.1,yes
001,RS,m?,128,2,1,20.7,no
001,RS,m,125,2,2,20,no
001,RS,m?,127,2,2,19.6,yes
001,RS,f,125,2,1,20.2,yes
001,RS,f,124,2,2,19.5,no
001,RS,f,125,1,2,18.9,no
001,RS,f,126,3,2,22.1,yes
001,RS,f?,126,1,1,20,yes
001,RS,m,128,2,1,19.4,no
001,RS,f,126,3,2,20,no
001,RS,f,125,3,1,19.8,yes
001,RS,f,126,1,1,16.8,yes
001,RS,f,122,3,2,21,yes
001,RS,m,127,1,1,18.5,no
001,RS,f,120,2,1,18.5,no
001,RS,f,118,3,1,19.1,yes
001,RS,f?,129,1,1,17.5,no
001,RS,?,128,2,2,20.5,yes
001,RS,f,122,2,1,18.9,yes
001,RS,f,123,2,2,19.2,yes
001,RS,f,118,2,1,17.6,no
001,RS,m,126,1,1,NA,yes
001,RS,f,128,3,1,19.6,no
001,RS,m,129,2,2,18.6,no
001,RS,?,124,3,1,18.9,no
001,RS,f,125,3,2,18.7,yes
001,RS,m,126,2,1,16.4,yes
001,RS,m,126,1,1,17.5,no
001,RS,f,124,2,1,19.7,no
001,RS,f,122,2,2,18.6,yes
001,RS,f,122,2,2,19,no
001,RS,f,125,4,2,21.3,no
001,RS,m,125,3,2,19.2,no
001,RS,m,127,1,2,19.1,no
001,RS,m,124,2,2,18.3,no
001,RS,m,119,3,2,19.3,yes
001,RS,f,126,2,2,18.3,yes
001,RS,m,130,1,1,19.8,yes
